epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_quality
0,0.00000000,0.09502939,0.04080115,0.93797557,0.01127131
0,0.00000000,0.12344024,0.13051756,0.89031873,0.01637519
0,0.03166191,0.69254772,0.27853941,0.66244917,0.22336899
1,0.03166191,0.69070594,0.28101590,0.65581339,0.22019815
2,0.03166191,0.69394286,0.28263352,0.64660368,0.21987431
3,0.03166191,0.69174203,0.28316046,0.64022604,0.21662429
4,0.03166191,0.69447447,0.28127528,0.64982895,0.21971784
5,0.03166191,0.70214704,0.28217952,0.65194535,0.22248178
6,0.03166191,0.69894919,0.27890875,0.65980504,0.22319720
7,0.03166191,0.69986088,0.27705212,0.67763873,0.22616236
8,0.03166191,0.66787909,0.27247291,0.66367147,0.21583348
9,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
10,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
11,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
12,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
13,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
14,0.00653559,0.14421463,0.06548058,0.90458588,0.05560279
15,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
16,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
17,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
18,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
19,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
20,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
21,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
22,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
23,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
24,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
25,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
26,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
27,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
28,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
29,0.00612368,0.11879533,0.07997427,0.85511543,0.05244744
