threshold,n_selected,coverage,mean_max_prob_selected,count_S1,count_S2,count_S3,count_C1,count_C2,count_K1,count_L1,count_A1,count_A2
0.0,1120,1.0,0.27437040993411627,0,61,366,693,0,0,0,0,0
0.05,1120,1.0,0.27437040993411627,0,61,366,693,0,0,0,0,0
0.1,1120,1.0,0.27437040993411627,0,61,366,693,0,0,0,0,0
0.15,1120,1.0,0.27437040993411627,0,61,366,693,0,0,0,0,0
0.2,1118,0.9982142857142857,0.27451478338038987,0,61,366,691,0,0,0,0,0
0.25,903,0.80625,0.2864032535919979,0,58,271,574,0,0,0,0,0
0.3,188,0.16785714285714284,0.35856749592943393,0,42,146,0,0,0,0,0,0
0.35,72,0.06428571428571428,0.41726524382829666,0,36,36,0,0,0,0,0,0
0.4,26,0.023214285714285715,0.49944425775454593,0,25,1,0,0,0,0,0,0
0.45,16,0.014285714285714285,0.5478148628026247,0,16,0,0,0,0,0,0,0
0.5,9,0.008035714285714285,0.6059823168648614,0,9,0,0,0,0,0,0,0
0.55,6,0.005357142857142857,0.6499550143877665,0,6,0,0,0,0,0,0,0
0.6,4,0.0035714285714285713,0.6945975720882416,0,4,0,0,0,0,0,0,0
0.65,4,0.0035714285714285713,0.6945975720882416,0,4,0,0,0,0,0,0,0
0.7,2,0.0017857142857142857,0.7228182852268219,0,2,0,0,0,0,0,0,0
0.75,0,0.0,,0,0,0,0,0,0,0,0,0
0.8,0,0.0,,0,0,0,0,0,0,0,0,0
0.85,0,0.0,,0,0,0,0,0,0,0,0,0
0.9,0,0.0,,0,0,0,0,0,0,0,0,0
0.95,0,0.0,,0,0,0,0,0,0,0,0,0
